No.,Date,Height [level],Fur Density [furs/cm^2],Fur Arrangement,Number of Drops,Needle,Fur Sample,Fur Type,Fur Orientation,Replication,Filename,Camera Settings,Lighting,Names,Notes,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Droplet Velocity [m/s],Droplet Diameter [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta,Delta_spread,Delta_Pen,Impact Classification,No. of Levels (Steady Penet Depth),No. of Levels (Max. Penet Depth),Weber #,,,,,,,
h21,4/4/2023,1,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,front facing up,3,h5_E1_3_6,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,30.2,1.19205298,1.556291391,3.774834437,4.933774834,0.205497365,2.816756077,1.655629139,0.59602649,18.02452803,105,0.088855549,1.092715232,0,1.04819964,0,4.447004608,4.585253456,,0.753871727,,,,,
h22,4/4/2023,1,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,front facing up,1,h5_E1_4_4,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.6,0,0,3.581081081,4.898648649,0.228304591,2.536879138,2.364864865,1.283783784,-0.702015087,116,0.611932961,0.97972973,0,2.005569759,0,4.277073733,5.158410138,,0.959938901,,,,,
h23,4/4/2023,1,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,front facing up,2,h5_E1_4_5,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.6,1.351351351,1.385135135,3.648648649,5.202702703,0.204783724,2.66154108,1.587837838,0.304054054,16.06113443,118,0.553875186,0.878378378,0,1.100940467,0,3.966013825,4.743663594,,0.974595954,,,,,
h24,4/4/2023,1,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,front facing up,3,h5_E1_4_6,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,30,1.266666667,1.3,3.5,4.766666667,0.214778281,2.602220192,1.666666667,0.366666667,17.13090991,101,0.633297648,0.866666667,0,1.155555556,0,5.054723502,5.054723502,,0.935414249,,,,,
h25,4/4/2023,1,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,front facing up,1,h5_E1_5_4,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.6,2.668918919,3.310810811,3.783783784,5.067567568,0.290029962,2.650768818,0,0,19.24384091,132,0.04365368,1.148648649,0,0.101351351,2.160138249,6.031105991,6.376728111,,0.875308205,,,,,
h26,4/4/2023,1,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,front facing up,2,h5_E1_5_5,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,28.6,2.762237762,3.356643357,3.741258741,5.13986014,0.266895403,2.838949768,0,0,23.74686211,118,0.088268463,1.223776224,0,0,1.828917051,4.161866359,3.64343318,,0.752096162,,,,,
h27,4/4/2023,1,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,front facing up,3,h5_E1_5_6,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.6,2.635135135,2.635135135,4.763513514,5.371621622,0.237484644,2.759886249,0.135135135,0,21.09570605,129,0.08693394,2.128378378,0,0.274835647,0,2.868663594,3.467741935,,0.83180417,,,,,
h28,4/5/2023,1,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,front facing up,1,h5_E1_6_4,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,column alg,29.4,0.544217687,0.544217687,3.945578231,5.034013605,0.211275873,2.617274201,2.380952381,1.258503401,3.60247609,113,0.133729503,1.12244898,0,,,,,,,,,,,
h29,4/5/2023,1,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,front facing up,2,h5_E1_6_5,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,column alg,30,0,0.5,3.533333333,4.933333333,0.171129187,2.589253934,2.633333333,0.366666667,-2.379061397,127,0.100125444,0.8,0,,,,,,,,,,,
h30,4/5/2023,1,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,front facing up,3,h5_E1_6_6,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,column alg,29,0.551724138,0.551724138,3.75862069,5.137931034,0.201455382,2.655974015,2.379310345,0.103448276,-2.951687068,115,0.109392053,0.896551724,0,,,,,,,,,,,
